genome	N	n_ok	n_failed	locus_sn_mean	locus_sn_sd	locus_pr_mean	locus_pr_sd	exon_sn_mean	exon_sn_sd	exon_pr_mean	exon_pr_sd	intron_chain_sn_mean	intron_chain_sn_sd	intron_chain_pr_mean	intron_chain_pr_sd	busco_c_mean	busco_c_sd	n_complete_used_mean	n_complete_used_sd	n_keepers_mean	n_keepers_sd	n_single_admitted_mean	n_single_admitted_sd	pred_genes_mean	pred_genes_sd
Aspergillus_nidulans_FGSC_A4	50	5	0	51.52	0.55	54.84	0.18	60.32	0.86	73.08	0.22	46.36	0.47	54.34	0.22	97.42	0.45	49.00	2.24	22.00	5.83	9.00	0.00	4707.20	36.07
Aspergillus_nidulans_FGSC_A4	100	5	0	53.14	0.30	55.38	0.25	63.00	0.75	73.28	0.22	48.14	0.29	54.48	0.33	97.98	0.29	99.80	0.45	49.60	7.09	19.67	0.58	4807.00	35.66
Aspergillus_nidulans_FGSC_A4	200	5	0	53.96	0.23	55.60	0.16	64.54	0.27	73.44	0.15	49.02	0.22	54.68	0.18	98.04	0.15	199.20	0.45	100.00	4.24	37.25	1.26	4860.60	12.30
Aspergillus_nidulans_FGSC_A4	300	5	0	54.42	0.33	55.94	0.22	65.48	0.22	73.48	0.34	49.68	0.15	54.70	0.51	98.12	0.23	244.20	6.34	145.00	11.77	3.60	2.19	4872.80	13.97
Aspergillus_nidulans_FGSC_A4	500	5	0	54.66	0.45	56.10	0.21	65.90	0.86	73.64	0.09	49.82	0.47	54.96	0.36	98.26	0.27	366.00	88.18	246.00	6.78	6.40	1.14	4879.40	21.41
Aspergillus_nidulans_FGSC_A4	750	3	0	54.57	0.25	55.90	0.30	65.60	0.00	73.50	0.20	49.73	0.21	54.73	0.35	98.10	0.17	299.67	12.50	368.33	12.58	10.00	2.65	4886.33	5.51
Aspergillus_nidulans_FGSC_A4	1000	3	0	54.87	0.21	56.10	0.20	66.03	0.21	73.57	0.06	49.97	0.21	54.90	0.17	98.23	0.31	401.33	16.56	484.00	13.23	12.67	4.16	4897.67	13.32
Aspergillus_nidulans_FGSC_A4	2000	3	0	55.37	0.15	56.43	0.15	66.80	0.10	73.70	0.10	50.53	0.15	55.33	0.15	98.37	0.06	816.33	9.29	986.33	14.01	27.33	3.21	4914.00	3.61
Aspergillus_nidulans_FGSC_A4	busco_code_new	1	0	54.80		56.80		66.60		73.70		50.10		55.40		98.40								4833.00	
Botrytis_cinerea_B05.10	50	5	0	77.38	0.47	80.62	0.54	78.50	0.62	89.16	0.33	69.16	0.40	82.26	0.53	97.66	0.19	50.00	0.00	23.80	1.92	8.00		5381.60	28.14
